OBJECTID,Damage,Street Name,"Street Type (e.g. road, drive, lane, etc.)",City,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Type,Structure Category,Roof Construction,Eaves,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Assessed Improved Value (parcel),Year Built (parcel),Latitude,Longitude,Daily Incident Count,Dist to Station km,Fire Risk Score,Accessibility Risk
13354,No Damage,Silverado,Trail,Saint Helena,94574,lnu,Napa,2020-09-27,commercial building single story,Nonresidential Commercial,Concrete,Enclosed,Stucco/Brick/Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,5498829,1962,38.5181400975241,-122.462523126487,128,3.154334359225349,1.9514318118293108,3.2423472491976124
78150,Destroyed (>50%),Meyer,Road,Grass Valley,95945,neu,Nevada,2021-08-04,motor home,Single Residence,Other,No Eaves,Other,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,56514,1995,39.1327525045623,-120.976370354667,13,5.285889624461216,5.954326732291515,1.8788311673511846
108443,Destroyed (>50%),W Manor,Street,Altadena,91001,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,311077,1945,34.1939651,-118.1502359,953,0.7647079810314151,2.2682174732259566,2.3978150594199072
85672,No Damage,Lake Almanor West,Drive,Chester,96020,lmu,Plumas,2021-07-13,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,185777,1986,40.2384133466312,-121.218388902434,35,15.821518050430585,3.2414913327815498,2.505349396031148
51874,Destroyed (>50%),Market,Street,Unincorporated,96001,shu,Shasta,2018-07-23,mobile home single wide,Single Residence,Metal,Unenclosed,Ignition Resistant,Single Pane,Wood,Wood,Combustible,No Fence,37072,1979,40.6241362001431,-122.463154747234,72,3.7253820296946616,5.405643261124816,3.0130598872856758
36648,Destroyed (>50%),Linry,Lane,Paradise Northeast A,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,204312,1990,39.7859359914128,-121.577942053592,1285,1.0711573626928386,2.8470213974609218,3.534384261496552
15752,Destroyed (>50%),Headlands,Drive,Napa,94558,lnu,Napa,2020-08-16,single family residence single story,Single Residence,Asphalt,Enclosed,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,149283,1997,38.514133259234,-122.183078170547,36,0.8456754190425212,2.470647577389648,3.000531993897267
109497,No Damage,E Altadena,Drive,Altadena,91001,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Asphalt,Enclosed,Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,143288,1948,34.1906708,-118.1239025,953,0.8530802507797528,1.1811110475920414,2.567358310076679
52337,Destroyed (>50%),Log Cabin,Road,Unincorporated,96033,shu,Shasta,2018-07-23,single family residence single story,Single Residence,Metal,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,45000,2000,40.7508375633472,-122.613430358278,12,5.325893435166723,6.178612782288675,2.8984910732380733
83078,No Damage,Blitzen,Road,South Lake Tahoe,96150,aeu,El Dorado,2021-08-14,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Wood,No Deck/Porch,Combustible,Combustible,238262,1974,38.8361390153666,-120.018414434818,102,2.3009423342218702,1.5267515522171382,1.4858650062585623
1372,Destroyed (>50%),Hoaglin School,Road,Kettenpom,95595,huu,Trinity,2020-08-17,single family residence single story,Single Residence,Metal,Unenclosed,Wood,Single Pane,Wood,No Deck/Porch,Non Combustible,Non Combustible,94419,1934,40.1114123395531,-123.422709769799,10,16.56596136369404,9.149690849798285,2.671447753214686
23022,No Damage,Crow'S Nest,Drive,Boulder Creek,95006,czu,Santa Cruz,2020-08-16,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,280908,1979,37.1489019536592,-122.150533032456,175,0.768438166752213,0.9462080366603193,1.9494454288420295
121420,Destroyed (>50%),Antioch,Street,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,commercial building single story,Nonresidential Commercial,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,118446,1940,34.0469326,-118.5266694,611,4.847992167826428,5.757724837291591,2.530729037438489
16448,Destroyed (>50%),Steele Canyon,Road,Napa,94558,lnu,Napa,2020-08-16,utility misc structure,Other Minor Structure,Metal,No Eaves,Metal,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,196807,1998,38.4791028678556,-122.184136280849,36,3.36907592611643,5.012323942950973,2.7493372490594243
33033,Destroyed (>50%),Skyway,Road,Paradise Northwest B,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Asphalt,Enclosed,Ignition Resistant,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,73937,1969,39.7810193512973,-121.602409387036,1285,1.1328116567862092,2.9350221148652498,3.2030578219073234
128272,Destroyed (>50%),Villa Grove,Drive,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,single family residence multi story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,818780,1953,34.0494967,-118.5137151,611,5.235126347515598,5.983035986464189,2.7099972134529136
97580,No Damage,Pine Cone,Road,Running Springs,92382,bdu,San Bernardino,2024-09-05,single family residence multi story,Single Residence,Metal,Enclosed,Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,135205,1967,34.2035882,-117.1035186,9,2.03612138243968,1.3540738194075108,1.2324612343388528
11783,No Damage,Deer Park,Road,Saint Helena,94574,lnu,Napa,2020-09-27,utility misc structure,Other Minor Structure,Asphalt,Enclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,185176,1971,38.5411367834908,-122.454750156149,128,1.8573255722069488,1.6385554311001702,2.7001286355715592
102049,No Damage,Allen,Avenue,Altadena,91001,lac,Los Angeles,2025-01-07,utility misc structure,Other Minor Structure,Tile,Unenclosed,Stucco/Brick/Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,169807,1939,34.1898666,-118.1117096,953,1.9474878109589442,1.6017726655283238,2.4363154343936126
96260,No Damage,Cessna,Avenue,Paynes Creek,96075,tgu,Tehama,2024-07-24,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,No Windows,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,3709,1969,40.3414299,-121.7808914,11,10.243754500917532,2.844838942322561,2.1865298726217883
95923,No Damage,Stage,Road,Forest Ranch,95942,btu,Butte,2024-07-24,single family residence multi story,Single Residence,Asphalt,Enclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,284800,1968,39.9005821,-121.6594297,17,3.181743975996402,2.06504709527505,3.269752113261758
67817,Destroyed (>50%),Bluesage,Court,Santa Rosa,95403,lnu,Sonoma,2017-10-08,single family residence multi story,Single Residence,Fire Resistant,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,371086,1988,38.4913216471999,-122.705881944489,261,4.627418388030841,5.743241741891254,3.123630577992284
19024,No Damage,Forbes,Drive,Vacaville,95688,lnu,Solano,2020-08-16,single family residence single story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,346958,1988,38.3906201259133,-122.005283045372,141,8.857488998162786,2.920343174221322,3.261322564729418
101829,Destroyed (>50%),Devirian,Place,Altadena,91001,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,97851,1942,34.1961808,-118.1569406,953,0.3865708719247282,1.544762894073302,2.5521730781677365
40381,Destroyed (>50%),Dry Creek,Road,Unincorporated,95965,btu,Butte,2018-11-08,mobile home double wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Wood,No Deck/Porch,Combustible,Non Combustible,27254,1969,39.6752964157958,-121.581775022077,93,8.240434223234072,7.515105885710849,3.434416293751216
92433,No Damage,Foresthill,Road,Foresthill,95631,neu,Placer,2022-09-06,single family residence single story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,Wood,No Deck/Porch,Combustible,Combustible,39861,1955,39.01855795,-120.82790888,32,1.9821566710549767,1.5653346316320982,1.7712921695590762
100422,No Damage,Alviso,Drive,Camarillo,93010,vnc,Ventura,2024-11-06,single family residence single story,Single Residence,Tile,Enclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,432033,1983,34.2422979,-119.0720252,100,0.4140878329127835,0.7708671291368749,1.836597864101402
115763,Destroyed (>50%),E Poppyfields,Drive,Altadena,91001,lac,Los Angeles,2025-01-07,single family residence multi story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,376812,1991,34.1951615,-118.1367362,953,0.815697452808941,2.281848453244649,2.5661414718257842
40450,Destroyed (>50%),Palo Verde,Lane,Paradise Central Southwest B,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Asphalt,No Eaves,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,75984,1955,39.7402087572129,-121.624356435864,1285,1.5110447855586024,3.424795454416068,3.5487029286719864
92735,No Damage,Carstens,Road,Midpines,95345,mmu,Mariposa,2022-07-22,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,106220,1979,37.55219198,-119.91484334,1,0.837350086885288,0.9945033689155358,1.538804038943838
42220,Destroyed (>50%),Eves,Lane,Unincorporated,95926,btu,Butte,2018-11-08,mobile home double wide,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,112351,2012,39.7385567919176,-121.68503984945,24,5.4392544422811655,6.431577541239999,3.67656911385069
24168,Destroyed (>50%),Last Chance,Road,Davenport,95017,czu,Santa Cruz,2020-08-16,utility misc structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,423630,1981,37.1217825430961,-122.253874277714,27,5.380891402851928,5.964414679529971,1.7662509249385154
38553,Destroyed (>50%),Jewel,Road,Paradise Southwest B,95969,btu,Butte,2018-11-08,mobile home double wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,4199,1969,39.7515681063572,-121.634301918835,1285,0.866749747592032,2.7169356976565373,3.194397306221303
62724,Destroyed (>50%),Rita,Place,Santa Rosa,95403,lnu,Sonoma,2017-10-08,single family residence multi story,Single Residence,Fire Resistant,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,299129,1988,38.4790956723775,-122.754491117612,261,3.887200563120841,5.3201483405886485,3.099535929858995
117457,No Damage,E Woodlyn,Road,Pasadena,91104,lac,Los Angeles,2025-01-07,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Stucco/Brick/Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,241539,1946,34.1675171,-118.1009337,50,1.0118362182878151,1.2198672939730617,2.2391926031466025
116264,Destroyed (>50%),Raymond,Avenue,Altadena,91001,lac,Los Angeles,2025-01-07,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,156182,1910,34.1966614,-118.1411103,953,1.1784105180593616,2.8566059196124685,2.4112813888247002
90487,No Damage,Carleton,Road,Mariposa,95338,mmu,Mariposa,2022-07-22,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,196780,1980,37.50830641,-119.90749758987,53,4.321685489872326,2.0579690800883217,1.6522217825972596
33941,Destroyed (>50%),Castle,Drive,Paradise Southwest B,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Metal,No Eaves,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,101856,1985,39.7678233138807,-121.631373322075,1285,1.664081916344408,3.602277211880181,3.553684402629413
93945,Destroyed (>50%),Mariposa,Street,Mariposa,95338,mmu,Mariposa,2024-07-04,utility misc structure,Other Minor Structure,Metal,Unenclosed,Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,140000,1980,37.4840307,-119.9595587,15,2.2774321057192513,3.947359669036225,1.7523464607723047
122684,Destroyed (>50%),Wakecrest,Drive,Malibu,90265,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,381496,1962,34.0427952,-118.5747631,140,5.125213149413015,6.001502459845216,2.706419456008599
81029,Destroyed (>50%),Wooded Glen,Road,Grizzly Flats,95636,aeu,El Dorado,2021-08-14,single family residence single story,Single Residence,Asphalt,Unenclosed,Vinyl,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,169793,1974,38.6322465510953,-120.532110008634,59,11.26214929443632,7.923917578287116,1.777559047241975
61641,Destroyed (>50%),Keoke,Court,Santa Rosa,95403,lnu,Sonoma,2017-10-08,single family residence multi story,Single Residence,Fire Resistant,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,120773,1988,38.4802130205493,-122.749490701279,261,3.7393936185117216,5.228016964675772,3.0947247024038247
119278,No Damage,E Washington,Boulevard,Pasadena,91104,lac,Los Angeles,2025-01-07,multi family residence single story,Multiple Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,263559,1952,34.1687387,-118.0997857,50,0.8400126697933554,1.1400895910666415,2.400266283799334
16317,No Damage,Quail Canyon.,Road,Vacaville,95688,lnu,Solano,2020-08-16,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,529725,1988,38.4837731660388,-122.051814179885,141,10.394084863557579,3.0217637074960244,2.978006585009876
10136,No Damage,Scotland,Court,Santa Rosa,95409,lnu,Sonoma,2020-09-27,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Wood,Wood,Combustible,Combustible,150251,1978,38.4638448383755,-122.628049044443,105,4.867439462870839,2.329707699184087,3.1314434448920334
97303,No Damage,East La Loma,Avenue,Somis,93066,vnc,Ventura,2024-11-06,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,351135,1959,34.2919956,-119.0581689,32,5.332368133307154,2.2266143806767458,1.8300249283217198
