X,Y,OBJECTID,FACILITY_STATUS,NAME,CAD_NAME,AKA,TYPE,UNIT,CDF_UNIT,COUNTY,OWNER,FUNDING,STAFFING,ADDRESS,CITY,ZIP,PHONE_NUM,LAT,LON
-13048435.4627,4045118.7724,1,Active,541,HIG 541,Highland,FSA,BDU,BDU,San Bernardino,CITY,A,V,26974 Baseline,Highland,92346,909-862-3031,34.12142498,-117.2160901
-13042160.0574,4045052.2999,2,Active,542,HIG 542,East Highland,FSA,BDU,BDU,San Bernardino,CITY,A,P,29507 Baseline,Highland,92346,909-862-1760,34.12093064,-117.15971717
-13051488.7033,4044221.9202,3,Active,543,HIG 543,Sterling,FSA,BDU,BDU,San Bernardino,CITY,A,P,7649 Sterling Ave,Highland,92410,909-884-4100,34.11475509,-117.24351783
-13034657.4203,4033369.6017,4,Active,552,Yuc 552,Crafton ,FSA,BDU,BDU,San Bernardino,CITY,A,P,32664 Yucaipa Bl,Yucaipa,92399,909-797-2313,34.0340047,-117.09231984
-13030745.5939,4030902.2334,5,Active,553,Yuc 553,Wildwood,FSA,BDU,BDU,San Bernardino,CITY,A,P,34259 Wildwood Canyon Rd,Yucaipa,92399,909-795-3048,34.01563466,-117.0571793
-13574805.2323,4381997.3469,6,Active,Pebble Beach FS,BEU Pebble Beach FS,#22,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,P,3101-B Forest Lake Rd,Pebble Beach,93953,831-375-4204,36.5891745,-121.94455019
-13571411.0637,4379869.0787,7,Active,Carmel Hill FFS,BEU Carmel Hill FS,#28,FSAB,BEU,BEU,Monterey,STATE,C,P,4180 17 Mile Drive,Pebble Beach,93953-9562,831-625-6415,36.5738221,-121.91405986
-13570657.5801,4375128.2412,8,Active,Rio Road FS,BEU Rio Road FS,#25,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,P,3775 Rio Road,Carmel,93923-8604,831-624-4511,36.53961281,-121.9072912
-13573892.8096,4370280.0435,9,Active,Carmel Highlands FS,BEU Carmel Highlands FS,#21,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,P,73 Fern Cyn Rd,Carmel,93923,831-624-2374,36.50461317,-121.93635376
-13541011.085,4422324.0013,10,Active,Aromas FS,BEU Aromas FS,#70,FSAB,BEU,BEU,Monterey,FIRE DISTRICT,C,P,492 Carpenteria Rd,Aromas,95004-9613,831-726-3130,36.87949563,-121.6409722
