OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
13354,No Damage,1030.0,Silverado,Trail,,CA,,LNU,Napa,St. Helena,9/27/2020 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Concrete,Enclosed,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,33651388.0,1962.0,1030 SILVERADO TRL N SAINT HELENA CA 94574,38.5181400975241,-122.462523126487
78150,Destroyed (>50%),20228.0,Meyer,Road,Grass Valley,CA,95945.0,NEU,Nevada,,8/4/2021 12:00:00 AM,Fire,,Motor Home,Single Residence,,Other,No Eaves,No Vents,Other,Single Pane,No Deck/Porch,No Deck/Porch,Unknown,No Fence,11-20,,56514.0,,20228 MEYER RD GRASS VALLEY CA 95945,39.1327525045623,-120.976370354667
108443,Destroyed (>50%),113.0,W Manor,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Non Combustible,,,311077.0,,"111 W MANOR ST, ALTADENA, CA 91001",34.1939651,-118.1502359
85672,No Damage,101.0,Lake Almanor West,Drive,Chester,CA,96020.0,LMU,Plumas,Lake Almanor West,7/13/2021 12:00:00 AM,Fire,Engine Company Actions,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,21-30,<30',185777.0,,101 LAKE ALMANOR WEST DR CHESTER CA 96020,40.2384133466312,-121.218388902434
51874,Destroyed (>50%),11549.0,Market,Street,Unincorporated,CA,,SHU,Shasta,Redding,7/23/2018 12:00:00 AM,Fire,Unknown,Mobile Home Single Wide,Single Residence,,Metal,Unknown,Unknown,Ignition Resistant,Unknown,Wood,Wood,Combustible,No Fence,>30,30-50',37072.0,0.0,,40.6241362001431,-122.463154747234
36648,Destroyed (>50%),6907.0,Linry,Lane,Paradise Northeast A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,204312.0,1990.0,6907  LINRY LN   PARADISE CA 95969,39.7859359914128,-121.577942053592
57564,No Damage,0.0, ,,Los Angeles ,CA,0.0,LAC,Los Angeles,,12/6/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,1143549.0,1980.0,1401 MORAGA DR LOS ANGELES CA 90049,34.0922746878429,-118.469116997586
15752,Destroyed (>50%),1093.0,Headlands ,Drive,,CA,,LNU,Napa,Napa ,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,149283.0,1997.0,1093 HEADLANDS DR NAPA CA 94558,38.514133259234,-122.183078170547
109497,No Damage,1301.0,E Altadena,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,143288.0,1948.0,"1301 E ALTADENA DR, ALTADENA, CA 91001",34.1906708,-118.1239025
52337,Destroyed (>50%),15923.0,Log Cabin ,Road,Unincorporated,CA,,SHU,Shasta,French Gulch ,7/23/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Metal,Unknown,Unknown,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,21-30,<30',45000.0,2000.0,15923 LOG CABIN RD FRENCH GULCH CA 96033,40.7508375633472,-122.613430358278
